epoch: 0	train ppl: 27708.911819648376	val ppl: 21242.217383701256	best val: 21242.217383701256	time (s) spent in epoch: 93.17597889900208
epoch: 1	train ppl: 1540.5719666084926	val ppl: 841.655101721684	best val: 841.655101721684	time (s) spent in epoch: 93.41965794563293
epoch: 2	train ppl: 564.5358375580081	val ppl: 506.4009740680033	best val: 506.4009740680033	time (s) spent in epoch: 93.86893129348755
epoch: 3	train ppl: 432.52884077572867	val ppl: 344.08013119124763	best val: 344.08013119124763	time (s) spent in epoch: 93.37280201911926
epoch: 4	train ppl: 319.70567804602086	val ppl: 311.5957563107479	best val: 311.5957563107479	time (s) spent in epoch: 93.38548278808594
epoch: 5	train ppl: 245.2264043848066	val ppl: 227.77625286819523	best val: 227.77625286819523	time (s) spent in epoch: 94.01220917701721
epoch: 6	train ppl: 195.97350312286946	val ppl: 232.88190969114717	best val: 227.77625286819523	time (s) spent in epoch: 92.31360220909119
epoch: 7	train ppl: 166.3110638691553	val ppl: 186.41300903068938	best val: 186.41300903068938	time (s) spent in epoch: 94.0395143032074
epoch: 8	train ppl: 144.91451272958614	val ppl: 185.9742100116908	best val: 185.9742100116908	time (s) spent in epoch: 91.52971625328064
epoch: 9	train ppl: 130.43661985052856	val ppl: 188.1911904216403	best val: 185.9742100116908	time (s) spent in epoch: 90.5438642501831
epoch: 10	train ppl: 118.39291218044735	val ppl: 171.6019735595383	best val: 171.6019735595383	time (s) spent in epoch: 89.93915343284607
epoch: 11	train ppl: 106.96122220956862	val ppl: 190.4019344765415	best val: 171.6019735595383	time (s) spent in epoch: 91.10528898239136
epoch: 12	train ppl: 97.28577937290461	val ppl: 160.85681723664487	best val: 160.85681723664487	time (s) spent in epoch: 91.50045108795166
epoch: 13	train ppl: 87.10162859908502	val ppl: 198.94066361324514	best val: 160.85681723664487	time (s) spent in epoch: 88.41835474967957
epoch: 14	train ppl: 80.04584726553497	val ppl: 182.6359177396715	best val: 160.85681723664487	time (s) spent in epoch: 91.2234992980957
epoch: 15	train ppl: 64.313523559767	val ppl: 162.56252533318653	best val: 160.85681723664487	time (s) spent in epoch: 90.67562174797058
epoch: 16	train ppl: 50.50470007938418	val ppl: 178.06608717246812	best val: 160.85681723664487	time (s) spent in epoch: 92.31611561775208
epoch: 17	train ppl: 40.30727247861687	val ppl: 181.7698574653503	best val: 160.85681723664487	time (s) spent in epoch: 90.80018925666809
epoch: 18	train ppl: 33.76904470123975	val ppl: 192.4326084687635	best val: 160.85681723664487	time (s) spent in epoch: 89.46615982055664
epoch: 19	train ppl: 29.914974759743124	val ppl: 200.9870893451896	best val: 160.85681723664487	time (s) spent in epoch: 91.32881140708923
epoch: 20	train ppl: 27.918797895855608	val ppl: 204.79197962361727	best val: 160.85681723664487	time (s) spent in epoch: 89.33925127983093
epoch: 21	train ppl: 26.97083208367396	val ppl: 203.97555604393526	best val: 160.85681723664487	time (s) spent in epoch: 89.21348714828491
epoch: 22	train ppl: 26.544652130404007	val ppl: 201.49259230814513	best val: 160.85681723664487	time (s) spent in epoch: 86.01121544837952
epoch: 23	train ppl: 26.386975652812996	val ppl: 199.52976847712748	best val: 160.85681723664487	time (s) spent in epoch: 89.64591002464294
epoch: 24	train ppl: 26.29192341667549	val ppl: 199.1180640180234	best val: 160.85681723664487	time (s) spent in epoch: 89.75453662872314
epoch: 25	train ppl: 26.300166485895456	val ppl: 199.0174626897218	best val: 160.85681723664487	time (s) spent in epoch: 90.91874599456787
epoch: 26	train ppl: 26.28229540857005	val ppl: 199.00051039731213	best val: 160.85681723664487	time (s) spent in epoch: 88.45874881744385
epoch: 27	train ppl: 26.279824540846743	val ppl: 198.9978263602849	best val: 160.85681723664487	time (s) spent in epoch: 89.33765125274658
epoch: 28	train ppl: 26.303614473855866	val ppl: 198.99764674798823	best val: 160.85681723664487	time (s) spent in epoch: 91.48334121704102
epoch: 29	train ppl: 26.29807495133703	val ppl: 198.99762302562155	best val: 160.85681723664487	time (s) spent in epoch: 90.4217643737793
epoch: 30	train ppl: 26.336102736245007	val ppl: 198.99760946998464	best val: 160.85681723664487	time (s) spent in epoch: 88.65063095092773
epoch: 31	train ppl: 26.290793335358227	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 90.48932242393494
epoch: 32	train ppl: 26.303441487564104	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 89.66107130050659
epoch: 33	train ppl: 26.288386140727514	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 91.95739412307739
epoch: 34	train ppl: 26.27164256352451	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 90.63390278816223
epoch: 35	train ppl: 26.29461273342372	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 93.32733702659607
epoch: 36	train ppl: 26.28742341091733	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 92.82322120666504
epoch: 37	train ppl: 26.29126854967506	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 81.67330527305603
epoch: 38	train ppl: 26.28864289074687	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 77.66220951080322
epoch: 39	train ppl: 26.283938564780343	val ppl: 198.99762641453088	best val: 160.85681723664487	time (s) spent in epoch: 89.89073276519775
